distrito;municipios;frequesias;populacao
Açores;19;156;236440
Aveiro;19;147;700964
Beja;14;75;144410
Braga;14;347;846515
Bragança;12;236;122833
Castelo Branco;11;120;177912
Coimbra;17;155;408631
Évora;14;69;152436
Faro;16;67;467475
Guarda;14;242;143019
Leira;16;110;458679
Lisboa;16;134;2275591
Madeira;11;54;250769
Portalegre;15;69;104989
Porto;18;243;1786656
Santarém;21;141;425431
Setúbal;13;55;875656
Viana do Castelo;10;208;231488
Vila Real;14;197;185878
Viseu;24;277;351392
