
Quadro extraído em 04 de Outubro de 2023 (23:52:46)
http://www.ine.pt



Localização geográfica (NUTS - 2013) (1) ;Museus (N.º) por Localização geográfica (NUTS - 2013) -  Anual;;;;;;;;;;Visitantes (N.º) de museus por Localização geográfica (NUTS - 2013) -  Anual;;;;;;;;;;
;Período de referência dos dados;;;;;;;;;;Período de referência dos dados;;;;;;;;;;
;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
PT: Portugal;424;419;414;436;431;430;405;388;392;353;0;7496851;5735532;19777691;19494106;17174986;15532379;13660668;11749732;11062584;
1: Continente;387;384;378;400;397;395;375;358;356;318;0;7112067;5594731;19273085;19021143;16651269;15061648;13237551;11305669;10704910;
11: Norte;109;110;106;115;117;120;115;111;109;102;0;2548822;1853219;6002853;5842377;5179402;4567440;4132597;3420918;3183712;
111: Alto Minho;12;11;11;12;12;12;11;8;6;6;0;136845;100162;272658;267638;276065;216151;137082;71042;72033;
1111601: Arcos de Valdevez;1;1;1;0;0;0;0;0;0;0;0;13562;12394;0;0;0;0;0;0;0;
1111602: Caminha;1;1;1;1;1;1;1;1;1;1;0;6651;2009;27992;19798;20747;5017;5620;? ?;? ?;
1111603: Melgaço;1;1;1;1;1;1;1;1;1;1;0;3578;? ?;6490;7081;9178;7164;6919;? ?;5535;
1111604: Monção;2;2;2;2;2;2;2;1;1;0;0;? ?;? ?;? ?;? ?;? ?;? ?;6521;? ?;0;
1111605: Paredes de Coura;1;0;0;1;1;1;1;0;0;1;0;0;0;? ?;? ?;? ?;? ?;0;0;2397;
1111606: Ponte da Barca;0;0;0;1;1;1;1;1;0;0;0;0;0;15000;12820;24742;18003;10000;0;0;
1111607: Ponte de Lima;1;1;1;1;1;1;1;1;1;1;0;3421;2493;9362;10116;9757;8494;7747;? ?;9121;
1111608: Valença;1;1;1;1;1;1;1;0;0;0;0;7546;4717;20245;20268;17200;15428;0;0;0;
1111609: Viana do Castelo;3;3;3;3;3;4;3;3;2;2;0;85012;64361;158785;165093;162472;127843;100275;? ?;? ?;
1111610: Vila Nova de Cerveira;1;1;1;1;1;0;0;0;0;0;0;? ?;2741;2765;1481;0;0;0;0;0;
112: Cávado;12;11;11;12;13;13;12;13;13;10;0;180740;128217;458255;451625;427091;421333;367493;266310;186683;
1120301: Amares;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1120302: Barcelos;3;3;3;3;3;3;3;3;3;2;0;32784;25506;76589;74331;79407;73622;66935;? ?;? ?;
1120303: Braga;6;5;5;6;7;7;7;7;7;5;0;138606;94903;356044;334040;315800;313457;261242;167471;109377;
1120306: Esposende;2;2;2;2;2;2;1;2;2;2;0;? ?;? ?;? ?;? ?;? ?;18599;? ?;? ?;? ?;
1120310: Terras de Bouro;1;1;1;1;1;1;1;1;1;1;0;? ?;? ?;? ?;? ?;? ?;15655;? ?;? ?;16876;
1120313: Vila Verde;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
119: Ave;11;12;12;13;13;13;13;15;14;13;0;236339;183530;636252;586916;575845;509726;460765;390459;354027;
1190304: Cabeceiras de Basto;0;0;0;1;1;1;1;1;1;1;0;0;0;15509;12946;10989;14646;16296;? ?;7924;
1190307: Fafe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1190308: Guimarães;4;5;5;5;6;5;5;6;6;6;0;219228;163388;549081;521844;497905;435221;386965;326092;? ?;
1191705: Mondim de Basto;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1520;? ?;1326;
1190309: Póvoa de Lanhoso;1;1;1;1;1;1;1;1;1;1;0;6122;4598;13968;13386;13591;12497;9851;? ?;? ?;
1190311: Vieira do Minho;0;0;0;0;1;1;1;1;0;0;0;0;0;0;2286;2273;2776;1126;0;0;
1190312: Vila Nova de Famalicão;6;6;6;6;4;5;5;5;5;4;0;10989;15544;57694;36454;51087;44586;45007;39531;41702;
1190314: Vizela;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11A: Área Metropolitana do Porto;34;36;34;40;41;41;39;38;40;36;0;1694777;1193589;3988490;3929645;3224696;2775271;2650462;2195629;2046228;
11A0104: Arouca;1;1;1;2;2;2;2;2;2;3;0;22451;19100;32548;35059;38567;31564;43187;? ?;? ?;
11A0107: Espinho;1;1;1;1;1;1;1;1;1;1;0;3733;1943;9608;8092;6633;7847;10432;? ?;? ?;
11A1304: Gondomar;1;2;2;2;2;2;1;2;2;1;0;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;5000;
11A1306: Maia;1;1;1;1;1;1;1;1;1;1;0;8770;24133;53465;51548;40155;29189;28045;? ?;10242;
11A1308: Matosinhos;2;2;2;2;2;3;3;3;3;4;0;? ?;? ?;? ?;? ?;7101;6234;8487;10960;? ?;
11A0113: Oliveira de Azeméis;1;1;0;2;2;2;2;1;2;3;0;? ?;0;? ?;? ?;? ?;? ?;? ?;? ?;? ?;
11A1310: Paredes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11A1312: Porto;15;16;15;18;18;17;17;17;17;13;0;1581505;1100151;3661212;3620015;2941166;2524693;2411548;1946316;1784738;
11A1313: Póvoa de Varzim;1;1;1;1;1;1;1;1;1;1;0;11449;10537;22500;25213;24267;21053;27412;? ?;18706;
11A0109: Santa Maria da Feira;3;3;3;3;3;3;3;3;3;4;0;19699;12039;103038;78753;69145;68101;49045;49585;? ?;
11A1314: Santo Tirso;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;? ?;0;
11A0116: São João da Madeira;2;2;2;2;3;3;2;1;1;1;0;9885;6451;29836;36416;38781;28663;16948;? ?;20755;
11A1318: Trofa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11A0119: Vale de Cambra;1;1;1;1;1;1;1;1;1;1;0;356;419;1616;1974;2088;2383;2346;? ?;1873;
11A1315: Valongo;1;1;1;1;1;1;1;1;1;1;0;1089;411;2837;3415;6995;4431;3793;? ?;9332;
11A1316: Vila do Conde;0;0;1;1;1;1;1;1;1;0;0;0;? ?;? ?;? ?;? ?;? ?;? ?;? ?;0;
11A1317: Vila Nova de Gaia;4;4;3;3;3;3;3;3;3;2;0;13986;13450;48156;36265;36013;42702;34351;40378;23993;
11B: Alto Tâmega;6;7;6;6;4;5;4;3;3;5;0;51253;57521;99157;64221;67445;65689;44330;58885;? ?;
11B1702: Boticas;1;1;1;1;0;0;0;0;1;0;0;? ?;727;? ?;0;0;0;0;? ?;0;
11B1703: Chaves;4;4;4;3;2;3;2;1;1;3;0;38940;? ?;56087;22195;21283;20307;? ?;? ?;24272;
11B1706: Montalegre;0;1;1;1;1;1;1;1;1;1;0;? ?;? ?;? ?;? ?;41840;? ?;? ?;? ?;? ?;
11B1709: Ribeira de Pena;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11B1712: Valpaços;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11B1713: Vila Pouca de Aguiar;1;1;0;1;1;1;1;1;0;1;0;1513;0;? ?;? ?;4322;? ?;2800;0;4240;
11C: Tâmega e Sousa;8;7;7;6;6;6;6;7;8;8;0;39370;36666;69977;72745;69975;62510;61474;57319;51017;
11C1301: Amarante;1;1;1;1;1;1;1;1;2;2;0;11141;9756;22327;28348;23288;19980;14212;? ?;? ?;
11C1302: Baião;1;2;2;2;2;2;2;2;2;2;0;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;
